tarih,metin
2025-06-13 18:23,"RT @IsciPlatformu1: Teklif edilen yüzde 16 zam kamu işçisini:

- Ciddiye almamaktır.
- Kamu işçisine sövmektir.
- İşçi konfederasyonlarını…"
2025-06-13 18:23,RT @YalcinDoganVHP: Polis maaşlarının diğer kurumlar karşısında düşük kamasının en önemli sebebi Sendikalı Memurların sendikaları aracılığı…
2025-06-13 18:23,"RT @kadertahmaz: @cenginyurt52 @ekremacikel @halktvcomtr Sayın Vekilim @cenginyurt52

İktidar &amp; Tüik işbirliği ile emekli açlığa ve sefalet…"
2025-06-13 18:23,RT @Galip4491: Hükümetin sunduğu zam teklifi gerçeklikten kopuk ve enflasyonun çok altında kaldı. Kamu işçileri insanca yaşamak için hak et…
2025-06-13 18:23,"RT @KamuIsciHaber: 🛑 600 BİNİ AŞKIN KAMU İŞÇİSİ 170 GÜNDÜR BEKLİYOR!
TÜHİS’in %16’lık zam teklifi sefalet dayatmasıdır!

📌 Enflasyon %15
📌…"
2025-06-13 18:23,"RT @ictnky74: Kamu işçisini %27 vergi dilimine girsin diye 6 ay bekletip sonra dalga geçer gibi %16 zam vermek
 
👉HAKARETTİR,
👉DALGA GEÇMEK…"
2025-06-13 18:23,"RT @gokboru1111: POLİSLERİN HAKLI İSTEKLERİ:

1- Maaşa %100 zam yapılmalı
2- Mesai ücreti getirilmeli
3- Tüm ek görevler ücretli olmalı
4-…"
2025-06-13 18:23,"Hükümet tarafı (TÜHİS) tarafından sunulan ilk teklif:

📆 1. Yıl

İlk 6 Ay: %16 zam

İkinci 6 Ay: %8 zam

📆 2. Yıl

İlk 6 Ay: %7 zam

İkinci 6 Ay: %5 zam

BİZİM BU TEKLİFİ KABUL ETMEMİZ MÜMKÜN DEĞİL❗️
#kamuiscileri 
@hakiskonf 
@turkiskonf 
#EylemeHazırız
#SİZNEREDESİNİZ https://t.co/YlwBtXiSaw"
2025-06-13 18:23,"RT @KamuIsciHaber: YA İSTİFA YA ZAM!

🏠  #kamuiscileri  Kiramı ödeyecek @memetsimsek
📄 Sözleşmemi istiyorum @isikhanvedat
🤷‍♂️ Neredesiniz…"
2025-06-13 18:23,RT @elkap_necla: @CapndaArastrmci Çalışan Memur ile #EmekliMemur 75 yıldır aynı hakları alıyor du  2 yıl önce Seyyanen zam  Memura  verildi…
2025-06-13 18:23,"RT @piveotesi: ⬇️İlk 5 ayda %15 açıklanan enflasyona karşı,
⬇️Daha yılın ortasında %27 ödenmesine rağmen,
⬇️6 aydır sözleşmeyi bekletmeleri…"
2025-06-13 18:23,"RT @I192439165: Emeklinin kök maaşına 30 bin TL zam yapmayanın, köküne kibrit suyu dökülsün. 
Bedduaysa beddua!
#TümEmeklilereSeyyanen30Bin…"
2025-06-13 18:23,RT @turker_eyuboglu: Hükümetin sunduğu zam teklifi gerçeklikten kopuk ve enflasyonun çok altında kaldı. Kamu işçileri insanca yaşamak için…
2025-06-13 18:23,"RT @ictnky74: Kamu işçisini %27 vergi dilimine girsin diye 6 ay bekletip sonra dalga geçer gibi %16 zam vermek
 
👉HAKARETTİR,
👉DALGA GEÇMEK…"
2025-06-13 18:23,"RT @emeginsesii: Ya istifa ya zam!

Kiramı ödeyin @memetsimsek 

Sözleşmemi istiyorum @isikhanvedat 

Neredesiniz @hakiskonf 

Güzel oynadı…"
2025-06-13 18:23,"RT @ipekozkal: ⬇️İlk 5 ayda %15 açıklanan enflasyona karşı,
⬇️Daha yılın ortasında %27 ödenmesine rağmen,
⬇️6 aydır sözleşmeyi bekletmeleri…"
2025-06-13 18:23,"RT @ryynkio_: @sbmptnfess please stop stereotip punya iphone = kaya, apalagi hpnya iphone 8 wkwkwkwk. Lucu deh kondisi ekonomi seseorang di…"
2025-06-13 18:23,"RT @AhmadRidzuanAG: Analytics Sanfrecce Hiroshima 2024: RM33 juta Impak Ekonomi Kepada Kawasan Setempat Bagi Setiap Perlawanan!

Dalam satu…"
2025-06-13 18:23,"RT @KamuIsciHaber: 📉 Enflasyon %75
💸 Teklif edilen zam %16
Sadaka değil, insanca yaşam istiyoruz!
Biz bu teklifi kabul etmiyoruz!
%16 – %8…"
2025-06-13 18:23,"RT @HacSad69795: Biz zam teklifini öğrenince utandık, siz masada dinlerken utanmadınız mı? KamuişçisineHakaret @hakiskonf @turkiskonf
Kamui…"
2025-06-13 18:23,"RT @ozanozturk_tr: 600 BİNİ AŞKIN KAMU İŞÇİSİ 170 GÜNDÜR BEKLİYOR!
TÜHİS’in %16’lık zam teklifi sefalet dayatmasıdır!

📌 Enflasyon %15
📌 Ve…"
2025-06-13 18:23,"RT @IsciPlatformu1: Teklif edilen yüzde 16 zam kamu işçisini:

- Ciddiye almamaktır.
- Kamu işçisine sövmektir.
- İşçi konfederasyonlarını…"
2025-06-13 18:23,"RT @elkap_necla: @CapndaArastrmci 2 buçuk milyon #EmekliMemur SEYYANEN MAĞDURU‼️
25 aydan beri yasal hakkı olan Seyyanen zam  otomatik yans…"
2025-06-13 18:23,"RT @egitimgucusen: Memur, Memur Emeklisi ve Kamu İşçisinin Sırtına Yıkılan Yük: Enflasyon Var, Zam Yok!

Hükümetin 2025 yılı için kamu işçi…"
2025-06-13 18:23,"RT @_ilkdordun: 🛑 600 BİNİ AŞKIN KAMU İŞÇİSİ 170 GÜNDÜR BEKLİYOR!
TÜHİS’in %16’lık zam teklifi sefalet dayatmasıdır!

📌 Enflasyon %15
📌 Ver…"
2025-06-13 18:23,"RT @YalcinDoganVHP: Polise SEYYANEN zam vermeyecekseniz ;

Ayda 160 saat ve
Haftada 40 saat çalıştıracaksın.

Gece çalışan Polislere nöbet…"
2025-06-13 18:23,"RT @emeginsesii: Ya istifa ya zam!

Kiramı ödeyin @memetsimsek 

Sözleşmemi istiyorum @isikhanvedat 

Neredesiniz @hakiskonf 

Güzel oynadı…"
2025-06-13 18:23,@birlikk_medya @vatanseverplus @bpthaber Niye Rusya 4pt4l mıydı kendi bağımsız ekonomi modelini oluşturmak için çabaladı başardı da. Ulan siz her yıl 29 ekimde elinizde atanızın fotoğrafını sallayıp bağımsız olduk sloganları atan ama aslında emperyalizme teslim olmuş adamlarsınız bugün elinize geçse yine bu devleti
2025-06-13 18:23,"RT @HacSad69795: Biz zam teklifini öğrenince utandık, siz masada dinlerken utanmadınız mı? KamuişçisineHakaret @hakiskonf @turkiskonf
Kamui…"
2025-06-13 18:23,"RT @LargeRefug79287: Anh trai thẳng đồ đá banh zăm 🙈😊!

P/s: Clip chỉ là DEMO nhiều đoạn ngắn, vào nhóm có PHí để xem FULL HD toàn bộ clip…"
2025-06-13 18:23,"RT @emeginsesii: Ya istifa ya zam!

Kiramı ödeyin @memetsimsek 

Sözleşmemi istiyorum @isikhanvedat 

Neredesiniz @hakiskonf 

Güzel oynadı…"
2025-06-13 18:23,"RT @grk_yalcin: Biz zam teklifini öğrenince utandık, siz masada dinlerken utanmadınız mı? #KamuişçisineHakaret @hakiskonf @turkiskonf"
2025-06-13 18:23,"RT @keyna_zazaye: Bugün açıklanan %16’lık zam teklifi, kamu işçisine diz çöktürme girişimidir!
Ama bilinsin: #Kamuişçisi diz çökmez, hesap…"
2025-06-13 18:23,"RT @NerkisSeckin: Emeklicanlar bu taga destek veriniz lütfen 

14.469 TL aylık harçlık ile 
GE-Çİ-NE-Mİ-YO-RUZ 

ARA ZAM bekliyoruz. 

Hüku…"
2025-06-13 18:23,"RT @srpyzr2410: Artık yeter! GREV BİZİM SİLAHIMIZDIR! TÜHİS'in enflasyon altı zulmüne boyun eğmeyeceğiz! YAŞAMAK İÇİN, KAZANMAK İÇİN!
@turk…"
2025-06-13 18:23,"RT @SinanSn77667344: ✊ 600 BİNİ AŞKIN KAMU İŞÇİSİ 170 GÜNDÜR BEKLİYOR!
TÜHİS’in %16’lık zam teklifi sefalet dayatmasıdır!

📌 Enflasyon %15…"
2025-06-13 18:23,"RT @KamuIsciHaber: 📉 Enflasyon %75
💸 Teklif edilen zam %16
Sadaka değil, insanca yaşam istiyoruz!
Biz bu teklifi kabul etmiyoruz!
%16 – %8…"
2025-06-13 18:23,"RT @memurhaklari0: İşçileri tebrik etmek lazım iki yıl için %36 zam almalarına rağmen ses çıkarmaya başladılar.
Memur ise iki yıl için %27…"
2025-06-13 18:23,"RT @YalcinDoganVHP: Polise SEYYANEN zam vermeyecekseniz ;

Ayda 160 saat ve
Haftada 40 saat çalıştıracaksın.

Gece çalışan Polislere nöbet…"
2025-06-13 18:23,"RT @huseyinnceyhan: 📍Kamuişçisine Hakaret! Hükümetin kamu işçilerine zam teklifi belli oldu.

Kamu işçilerine 2025'in ilk yarısı için %16,…"
2025-06-13 18:23,"RT @msbisci: İstanbul’da çalışan savunma sanayii işçileri, haklı mücadelelerini kararlılıkla sürdürüyor. Bugün açıklanan hükümetin ilk 6 ay…"
2025-06-13 18:23,RT @MukaddemA79551: Enflasyon altında zam teklifi #Kamuişçileri 'nin emeğine ihanet ve hakarettir! TÜHİS'in oyununu bozacağız! GREV SESİMİZ…
2025-06-13 18:23,"RT @YalcinDoganVHP: Polise SEYYANEN zam vermeyecekseniz ;

Ayda 160 saat ve
Haftada 40 saat çalıştıracaksın.

Gece çalışan Polislere nöbet…"
2025-06-13 18:23,RT @Buketyksel90: İlk 6 ay %27 vergi diliminde olan işçiye %16 zam önerildi! #kamuişçisinehakaret https://t.co/v4qaGrVftG
2025-06-13 18:23,"RT @grk_yalcin: Biz zam teklifini öğrenince utandık, siz masada dinlerken utanmadınız mı? #KamuişçisineHakaret @hakiskonf @turkiskonf"
2025-06-13 18:23,"RT @ali_hakan_kara: Sıkça gelen bir soru: “Hocam aylık %4,8 ile tüketici kredisi alınır mı?” 
Arkadaşlar bu rakam yıllık bileşik %76’ya den…"
2025-06-13 18:23,"RT @keyna_zazaye: Bugün açıklanan %16’lık zam teklifi, kamu işçisine diz çöktürme girişimidir!
Ama bilinsin: #Kamuişçisi diz çökmez, hesap…"
2025-06-13 18:23,"RT @YalcinDoganVHP: Polise SEYYANEN zam vermeyecekseniz ;

Ayda 160 saat ve
Haftada 40 saat çalıştıracaksın.

Gece çalışan Polislere nöbet…"
2025-06-13 18:23,"RT @grk_yalcin: Biz zam teklifini öğrenince utandık, siz masada dinlerken utanmadınız mı? #KamuişçisineHakaret @hakiskonf @turkiskonf"
2025-06-13 18:23,"@EnverCanpolat8 Hükümet tarafı (TÜHİS) tarafından sunulan ilk teklif:

📆 1. Yıl

İlk 6 Ay: %16 zam

İkinci 6 Ay: %8 zam

📆 2. Yıl

İlk 6 Ay: %7 zam

İkinci 6 Ay: %5 zam

BİZİM BU TEKLİFİ KABUL ETMEMİZ MÜMKÜN DEĞİL❗️
#kamuiscileri 
@hakiskonf 
@turkiskonf 
#EylemeHazırız
#SİZNEREDESİNİZ"
2025-06-13 18:23,"RT @yesimcilek57: İsrail güçten anlar
İsrail güçten anlar..

Evet güçleniyoruz..
Devam'da edecek peki sen ne kadar Devleti'nin yanındasın..…"
2025-06-13 18:23,"RT @KamuIsciHaber: 🛑 600 BİNİ AŞKIN KAMU İŞÇİSİ 170 GÜNDÜR BEKLİYOR!
TÜHİS’in %16’lık zam teklifi sefalet dayatmasıdır!

📌 Enflasyon %15
📌…"
2025-06-13 18:23,RT @MukaddemA79551: Enflasyon altında zam teklifi #Kamuişçileri 'nin emeğine ihanet ve hakarettir! TÜHİS'in oyununu bozacağız! GREV SESİMİZ…
2025-06-13 18:23,"RT @thenorthmaaan: Ayıptır ya siz bu insanlardan ne istiyorsunuz? 
İlk 6 aylık enflasyon %15 civarı çıkmış sen kalkmış bu insanlara %16 gib…"
2025-06-13 18:23,"RT @keyna_zazaye: Bugün açıklanan %16’lık zam teklifi, kamu işçisine diz çöktürme girişimidir!
Ama bilinsin: #Kamuişçisi diz çökmez, hesap…"
2025-06-13 18:23,"RT @YalcinDoganVHP: Polise SEYYANEN zam vermeyecekseniz ;

Ayda 160 saat ve
Haftada 40 saat çalıştıracaksın.

Gece çalışan Polislere nöbet…"
2025-06-13 18:23,"RT @emeginsesii: Ya istifa ya zam!

Kiramı ödeyin @memetsimsek 

Sözleşmemi istiyorum @isikhanvedat 

Neredesiniz @hakiskonf 

Güzel oynadı…"
2025-06-13 18:23,"RT @grk_yalcin: Biz zam teklifini öğrenince utandık, siz masada dinlerken utanmadınız mı? #KamuişçisineHakaret @hakiskonf @turkiskonf"
2025-06-13 18:23,"RT @bacottazza_: “SETARA"" 

Setara yg ku maksud, 
bukan tentang ekonomi ataupun latar belakang Tapi, Cinta dibalas kasih sayang, effort dib…"
2025-06-13 18:23,RT @MukaddemA79551: Enflasyon altında zam teklifi #Kamuişçileri 'nin emeğine ihanet ve hakarettir! TÜHİS'in oyununu bozacağız! GREV SESİMİZ…
2025-06-13 18:23,RT @MukaddemA79551: Enflasyon altında zam teklifi #Kamuişçileri 'nin emeğine ihanet ve hakarettir! TÜHİS'in oyununu bozacağız! GREV SESİMİZ…
2025-06-13 18:23,"RT @UmitDikbayir: %44 enflasyon açıklayıp memura, emekliye, işçiye yarısı kadar zam yapana ne diyoruz ?"
2025-06-13 18:23,"RT @hakan66_66: Memura verilen seyyanen zam, Emekli Memurun maaşına yaklaştı...#EmekliMemur yasal hakkı olan ve Cumhurbaşkanının söz vermes…"
2025-06-13 18:23,@ali_hakan_kara Hocam peki ya gerçek enflasyon?
2025-06-13 18:23,RT @turker_eyuboglu: Hükümetin sunduğu zam teklifi gerçeklikten kopuk ve enflasyonun çok altında kaldı. Kamu işçileri insanca yaşamak için…
2025-06-13 18:23,"RT @s_aytek3345: Hükümetin #kamu işçilerine zam teklifi belli oldu.

Kamu işçilerine 2025'in ilk yarısı için %16, ikinci yarısı için %8 zam…"
2025-06-13 18:23,"RT @Kamuiscileri1: 📢 750 bin kamu işçisi adalet bekliyor! Ücretlerimiz yetmiyor, enflasyon altında eziliyoruz. Birlik olalım, sesimizi yüks…"
2025-06-13 18:23,"RT @emeginsesii: Ya istifa ya zam!

Kiramı ödeyin @memetsimsek 

Sözleşmemi istiyorum @isikhanvedat 

Neredesiniz @hakiskonf 

Güzel oynadı…"
2025-06-13 18:23,"RT @KamuIsciHaber: 🛑 600 BİNİ AŞKIN KAMU İŞÇİSİ 170 GÜNDÜR BEKLİYOR!
TÜHİS’in %16’lık zam teklifi sefalet dayatmasıdır!

📌 Enflasyon %15
📌…"
2025-06-13 18:23,RT @Ytukedisevdasi: Sanırım adet ama adet 15 TL'den 10kya çıkmış bu kadar enflasyon olmadı hiçbir şeyde https://t.co/9UFmjiuBHA
2025-06-13 18:22,"RT @ErenMurat01: #Hükümet #kamuiscisine  
ZAM TEKLİFİNDE BULUNDU!

İlk altı ay yüzde 16
İkinci altı ay yüzde 8
Üçüncü altı ay yüzde 7
Dördü…"
2025-06-13 18:22,"RT @msbisci: İstanbul’da çalışan savunma sanayii işçileri, haklı mücadelelerini kararlılıkla sürdürüyor. Bugün açıklanan hükümetin ilk 6 ay…"
2025-06-13 18:22,RT @DikkatSaplar: Fedakar Milli Savunma Sanayii işçileri ortalama 32-38 bin TL maaş alıyor ev kiralar ise 25-30 bin TL ödüyorlar. Herkes gu…
2025-06-13 18:22,"RT @eminey0671: Artık yeter! GREV BİZİM SİLAHIMIZDIR! TÜHİS'in enflasyon altı zulmüne boyun eğmeyeceğiz! YAŞAMAK İÇİN, KAZANMAK İÇİN!
@turk…"
2025-06-13 18:22,"📉 Enflasyon %75
💸 Teklif edilen zam %16
Sadaka değil, insanca yaşam istiyoruz!
Biz bu teklifi kabul etmiyoruz!
%16 – %8 – %7 – %5 gibi teklifler,
Gerçek enflasyonla ve geçim derdiyle en ufak bir bağ kurmayan oranlar.

Kamuişçisine Hakaret
#Kamuİşçisi
@hakiskonf 
@turkiskonf https://t.co/vy92CfHY9y"
2025-06-13 18:22,"RT @Kamuiscileri1: Eylemede  GrevedeHazırız
📣 Toplu sözleşme süreci tıkandı! Aylardır yanıtsız kalıyor Enflasyon karşısında dahada eziliyor…"
2025-06-13 18:22,RT @MukaddemA79551: Enflasyon altında zam teklifi #Kamuişçileri 'nin emeğine ihanet ve hakarettir! TÜHİS'in oyununu bozacağız! GREV SESİMİZ…
2025-06-13 18:22,RT @Galip4491: Hükümetin sunduğu zam teklifi gerçeklikten kopuk ve enflasyonun çok altında kaldı. Kamu işçileri insanca yaşamak için hak et…
2025-06-13 18:22,"RT @thenorthmaaan: Ayıptır ya siz bu insanlardan ne istiyorsunuz? 
İlk 6 aylık enflasyon %15 civarı çıkmış sen kalkmış bu insanlara %16 gib…"
2025-06-13 18:22,"@Emegin_Halleri Kamuİşçisi Grevİstiyor

Sayın @turkiskonf ve @hakiskonf,

İşçilere 2 yıl için %36 zam verildi, tamam.

Peki neden demiyorsunuz ki:
“Biz işçiler de seyyanen zam istiyoruz, bize de verin!”

Farkında mısınız? Memurlara verilen seyyanen zam, toplu sözleşmelere ilave olarak her yıl https://t.co/4gKmwF0kDw"
2025-06-13 18:22,"RT @SerkanG61989808: Kamuİşçileri ADALETİstiyor,
⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️
Aldığımız ücretler yetmiyor,
Enflasyon,vergi üzerimizde yük,
Sosyal h…"
2025-06-13 18:22,"RT @tumkamuiscileri: %16 zam değil, sadaka!
Kamu işçisiyle dalga geçmeyin

 #Kamuişçileri https://t.co/7bzDcWuoQm"
2025-06-13 18:22,"RT @EYTLEVENTATACA1: TÜM EMEKLİLERİN 
KÖK MAAŞLARINA 
30.000 TL SEYYANEN ZAM İSTİYORUZ‼️

#TümEmeklilereSeyyanen30Bin
#Hemen5000KısmiyeYasa…"
2025-06-13 18:22,"RT @Galip4491: 📆 1. Yıl
İlk 6 Ay: %16 zam
İkinci 6 Ay: %8 zam
📆 2. Yıl
İlk 6 Ay: %7 zam
İkinci 6 Ay:%5 zam
Kamuişçisine Hakaret
Enflasyon k…"
2025-06-13 18:22,"RT @ali_hakan_kara: Sıkça gelen bir soru: “Hocam aylık %4,8 ile tüketici kredisi alınır mı?” 
Arkadaşlar bu rakam yıllık bileşik %76’ya den…"
2025-06-13 18:22,"@CapndaArastrmci 2 ,5 milyon
 #EmekliMemur SEYYANEN MAĞDURU‼️
25 aydan beri yasal hakkı olan Seyyanen zam  otomatik yansıyacak dendiği halde yansımadığı için, 16.158 TL  eksik maaş alıyor.
#MemurEmeklisineAdalet
@RTErdogan 
@memetsimsek 
@tcbestepe 
@MHP_Bilgi 
@herkesicinCHP 
@MHP_Bilgi"
2025-06-13 18:22,"RT @piveotesi: ⬇️İlk 5 ayda %15 açıklanan enflasyona karşı,
⬇️Daha yılın ortasında %27 ödenmesine rağmen,
⬇️6 aydır sözleşmeyi bekletmeleri…"
2025-06-13 18:22,"main tangan, nyuruh jangan mimpi ketinggian karena ekonomi, judging hard https://t.co/RJA35KLI9J"
2025-06-13 18:22,"RT @etkiliihhaberr: Kamuda çalışan işçilere ilk 6 ay için %16, sonraki 6 ay için %8 zam teklifi yapılmasının ardından Türk Harb-İş Sendikas…"
2025-06-13 18:22,RT @DikkatSaplar: Fedakar Milli Savunma Sanayii işçileri ortalama 32-38 bin TL maaş alıyor ev kiralar ise 25-30 bin TL ödüyorlar. Herkes gu…
2025-06-13 18:22,@BekirTiryakii Evet akaryata zam yollarda para tuzağı.
2025-06-13 18:22,"RT @ali_hakan_kara: Sıkça gelen bir soru: “Hocam aylık %4,8 ile tüketici kredisi alınır mı?” 
Arkadaşlar bu rakam yıllık bileşik %76’ya den…"
2025-06-13 18:22,"RT @Beytullah_Citak: Sürekli Seyyanen Yazılmasını İsteyen Arkadaşlar Nerede..?

Haydiiiiiin Bakiiim,
Pamuk Parmakları Tuşlarda Görelim 🤗…"
2025-06-13 18:22,"Kamu işçilerine 2025 ilk 6 ay için %18 (Geriye Dönük yatacak) ikinci ay için %8 zam teklifi verilmiş!

Kamu memurları toplu sözleşmede 2025 ilk 6 ay için %6 ikinci ay için %5 zam almıştı!

Yazıklar olsun hala yetkili etkisiz sendika ve yandaşında duranlara!

#Kamuİşçileri #Memur https://t.co/D7HuXciwAC"
2025-06-13 18:22,RT @DikkatSaplar: Fedakar Milli Savunma Sanayii işçileri ortalama 32-38 bin TL maaş alıyor ev kiralar ise 25-30 bin TL ödüyorlar. Herkes gu…
2025-06-13 18:22,"RT @Olukpinar: Kamuişçisine Hakaret edildi,
İlk altı ay %27 vergi diliminde olan işçiye %16 zam önerildi.! https://t.co/btfbhEktrn"
2025-06-13 18:22,"RT @ali_hakan_kara: Sıkça gelen bir soru: “Hocam aylık %4,8 ile tüketici kredisi alınır mı?” 
Arkadaşlar bu rakam yıllık bileşik %76’ya den…"
2025-06-13 18:22,"@m_cemilkilic Türkiyeyi çökertmek icin İsraile ihtiyacları yok, AKP iktidarı yeterli. Şu an ülkenin en zeki, parlak gençleri yurt dışına göç ediyor, ekonomi yerle bir, geleceğimiz iyi değil, yakında İran-vari bir yer oluruz zaten"
2025-06-13 18:22,"RT @Aydnl11631645: Emekliler bu taga destek veriniz lütfen 

14.469 TL aylık harçlık ile 
GE-Çİ-NE-Mİ-YO-RUZ 

ARA ZAM bekliyoruz. 

Hükume…"
2025-06-13 18:22,"RT @MukaddemA79551: Artık yeter! GREV BİZİM SİLAHIMIZDIR! TÜHİS'in enflasyon altı zulmüne boyun eğmeyeceğiz! YAŞAMAK İÇİN, KAZANMAK İÇİN!
@…"
